Input Size,Insertion Sort Time,Merge Sort Time
1,0.164440,0.160080
2,0.401960,0.858100
3,0.558540,1.651800
4,0.945040,2.485340
5,1.056000,3.576680
6,1.511740,4.447320
7,2.102020,5.359700
8,2.213020,6.471740
9,2.559680,7.639700
10,3.055180,8.659060
11,3.257120,9.733100
12,3.972140,10.473820
13,3.542420,11.726180
14,3.762200,12.785620
15,6.791940,14.692700
16,7.259080,15.679400
17,7.294300,16.296740
18,9.402120,17.692940
19,10.399000,19.233600
20,10.839600,20.227660
21,12.184440,21.290760
22,11.701700,22.871160
23,14.240400,23.779860
24,13.448100,24.920480
25,12.809980,26.260360
26,19.447900,27.691580
27,15.974300,29.297560
28,18.357960,30.892700
29,21.805600,32.006680
30,19.896840,33.180640
31,21.688740,38.390720
32,17.168340,35.578080
33,22.657860,37.360560
34,32.631720,38.309540
35,26.969840,40.000340
36,26.203560,40.704940
37,27.089980,42.188860
38,34.257380,46.515540
39,34.096260,44.961100
40,40.632360,45.902020
41,35.246020,46.949940
42,44.058400,50.254000
43,46.831320,51.275300
44,34.617900,53.403720
45,45.086200,54.442740
46,46.527960,53.817640
47,54.786360,56.930220
48,48.066460,58.846300
49,56.787220,60.397860
50,58.236480,61.677340
51,58.865000,61.395880
52,62.028580,63.584660
53,57.629620,65.898960
54,78.197080,68.641600
55,64.408320,68.968380
56,74.913680,70.165800
57,65.867040,81.680480
58,75.854920,75.567160
59,71.293120,74.912000
60,82.328760,77.037200
61,85.242100,78.223060
62,88.903600,77.550440
63,81.653140,77.815940
64,95.151880,83.147820
65,111.279700,84.609420
66,100.290800,85.634000
67,94.918620,87.826840
68,117.448600,89.873400
69,101.379960,90.792920
70,112.724060,93.053720
71,117.053060,92.808780
72,110.019740,95.417660
73,126.670680,97.397300
74,119.287180,98.831340
75,136.136280,100.566600
76,129.515760,98.876320
77,131.583300,103.454880
78,137.639520,104.464640
79,151.022640,107.326020
80,137.800820,110.468320
81,153.106720,110.382560
82,164.939120,110.363280
83,150.436840,113.352640
84,158.239060,114.332000
85,166.016020,115.522880
86,165.067700,118.607700
87,168.492320,119.515860
88,175.262180,121.358620
89,181.876500,119.713780
90,182.323180,123.510500
91,176.457100,124.988140
92,208.484800,126.007380
93,182.235840,128.590100
94,205.238980,129.924240
95,213.826980,132.734020
96,211.616880,128.701380
97,221.690820,137.437380
98,213.591280,138.358620
99,222.317060,138.608620
